id,account_type,gender,age,region_code,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,emi_active,cc_cons
9399,current,M,48,803,4896,,1318,,10706,,2,1,4,,,2,30000,,,,,,,,,9306.45,9276,4,1,9000,223310.38,327819,4,11,212550,47650.75,27799,3,7,21000,,0,2200
30455,current,M,26,233,36592.59,558,6953.51,2943,1190,1331.47,7,9,18,2,7,4,40000,,,,,,,,,54126.63,49556.18,11,7,25000,176623.66,179177,9,36,84000,93702.19,112242,15,13,47000,,0,4295
43506,current,M,35,233,534,,1181.01,,1311.505,,1,3,1,,,,52000,,,,,,,,,25896.04,36719,13,2,27500,60655.67,52733.86,4,14,22000,24734.79,22351,3,6,19000,,12424.65,2224
17606,current,M,28,523,10057.4,1603,7546,4411.4,885,,7,5,22,1,6,2,39000,,,,,,,,,16401.77,16048,14,6,13020,25121.15,25568,21,21,12639,69521.2,69359,14,31,19001,,0,5081
18323,current,F,32,683,1855,750,14206.48,1455,11727.71,705.55,3,12,6,3,5,12,63000,,,,,,,,,26962.55,29228,32,7,21315,40576.5,38585,12,31,22584,82698.05,82751,16,37,22584,,0,14941
23863,current,M,28,623,11802.58,,16189.43,699,2671.04,641,11,23,28,,1,5,72000,,,,,,,,,63519.26,60342,22,9,31575,48300.89,48239,7,19,31538,68792.68,71233,12,31,31537,,0,1518
6398,current,M,25,324,4817.455,1444,3589.91,637,4557,,,4,8,4,4,7,75000,,,,,,,,,16022.54,28230,13,2,22081,35903.16,26463,3,16,22100,34562.44,51242.75,6,24,22100,,0,9782
24983,saving,M,30,534,26980.82,1693,3915.92,,8180,798,18,3,15,1,,1,30000,1,1,1,,,,,,25432,24316,17,3,10600,24241,14025,2,15,7000,70894,75834.77,8,21,40000,Y,9382.87,461
10834,saving,M,39,683,6837.2,648,65191.49,,10124,,6,12,20,1,,,100000,1,,,,,,,,931416.33,815881,37,19,300000,284550.5,420218,17,16,75000,896024,746930,17,29,200000,,35407.09,6345
43338,current,M,33,623,1877.12,1945.37,8194.61,817.94,5631.865,355,2,5,7,6,2,13,45000,,,,,,,,,13237.62,32074,18,3,15120,15211.94,4768,1,8,4650,50052.32,24971.03,7,22,15150,,0,13984
31198,current,M,37,575,7939.46,,2061.7,,5280.58,,9,6,,,,,97000,,,,,,,,,183800.28,109318.16,22,5,56000,74061.68,31947,5,14,8003,51592.21,76138,5,9,32531,,1127.93,260
37360,current,M,44,233,2038.8,,2243,,1337,,5,5,10,,,,150000,,,1,,,,,,52250.49,38971,10,2,26859,30317,42298,3,12,30699,42968.45,42032,4,18,29319,,88.9,770
42951,current,M,32,683,1902,2976.72,2498.86,413,3239,,2,2,4,2,1,,85000,,,,,,,,,46465.72,49576,17,1,49388,70980.62,71931,3,16,49388,89509,89281,9,8,49382,,0,2159
27766,current,M,32,823,18171.25,3755.3,4529.05,3989.03,10318.32,1496,11,4,5,3,6,9,130000,,,,,,,,,56034.3,57249,16,5,27132,30860.03,44988,3,15,22456,65107.49,52687.24,7,37,23351,,0,9106
32969,current,M,58,656,2621,1670.5,689,2876,1721,1554,2,1,11,3,3,5,23000,,,,,,,,,67342.5,52489.5,25,3,50196,36168,48985,5,26,27210,44330,37069,5,29,27210,,7641.87,1000
40054,current,M,25,265,31261.5,661,7107.8,,682,,13,17,7,1,,,100000,,,,,,,,,50612.25,69294,16,3,33800,29029,40253,2,8,25000,42132.3,40344,5,4,25000,,0,7130
16385,saving,M,39,371,8346.755,4988.34,9429.51,21319.6,5336,1928,,4,4,4,14,11,176000,,,,,,,,,137746.34,120154,31,3,70303,86289.6,73446,3,26,59108,66210.1,175429,4,24,100000,,0,3632
7571,current,F,25,567,560,,2825.26,3112.37,1349,103,1,3,3,,3,1,30000,,,,,,,,,3542,15051,4,1,14986,10895.37,27801,3,5,13647,13850.21,428,1,6,186,,0,302
23700,current,M,34,623,13618.42,361,9844.02,962,5408.62,3225.36,2,,11,1,4,8,100000,,,,,,,,,28813.19,36502,16,2,29415,80612.66,95243,8,27,29415,66003.18,87528.65,5,26,66663,,0,220
39259,current,F,34,233,36337.33,,154911.5,33545,1108,,13,33,4,,1,,130000,,,,,,,,,42460.35,39218,10,2,35195,33659,37654,2,1,35195,53035.83,44386,2,3,43965,,0,13130
19675,current,M,38,818,11069.47,1180,27157.19,,3871,,26,43,42,1,,1,364000,,,,,,,,,111479.75,57182,12,1,56997,47442,69137,2,4,58878,72741,60250,4,12,53955,,0,12057
5879,current,M,43,683,43259.21,438,4514.86,,223154,,33,5,10,1,,,420000,,,,,18418.85,,,,91937.53,80006.02,17,3,73734,65189.44,90591.35,4,14,78180,113848.33,111034,7,11,78179,,2622.28,4034
20978,saving,F,39,265,4593.06,,8785.03,,11477,4843.61,2,,5,,,7,95000,,,,,,,,,423.75,5282,2,1,5000,20853,24110,3,3,10000,106748.86,130401.5,5,16,70000,,35489.67,8183
33560,current,M,28,518,42644,1156,314,8764,2584,493,3,1,2,6,12,3,98000,,,,,,,,,61958,63721,13,3,36000,43714,51024,5,18,19000,41066,39119,8,8,13700,,15596.77,25694
11480,current,M,39,643,12881.11,5969,853.06,,7428.585,,4,1,2,2,,1,300000,,,,,,,,,521569.75,490112,23,7,457416,109196.92,37343,7,6,10500,87480.5,87993.5,16,15,15000,,0,425
3344,current,M,31,233,18693,1080,9106,,14008.5,1431,2,1,3,1,,6,27000,,,,,,,,,76217.7,74634.46,29,10,37910,133309.38,134711,9,24,95500,84306.39,82746,15,32,31000,,0,805
137,current,M,27,723,5289,,10701.5,,8246.25,,8,12,8,,,,23000,,,,,,,,,2288.13,2369.13,2,1,2215.13,1063.92,1039.92,1,1,1029.92,2577.58,2597.58,1,1,2527.58,,0,1284
39567,saving,M,47,523,21532.52,,3021.04,,3450.5,,13,3,9,,,,364000,,,,,,45000,,,52783.48,52297,6,3,40596,32180.52,60777,5,7,40596,64869.21,42555,4,14,40584,,75.8,4365
24461,current,M,54,683,20026.25,,5984.17,,11125,,9,6,18,,,,42000,,,1,,20141240,,,,186550.88,147348,38,4,98201,491189.63,578422,4,19,240000,251289.91,244207,4,22,120000,,928095.46,6695
45532,current,M,33,297,20829.08,694,2016.46,523,11501.77,,5,5,13,2,2,2,46000,,,,,,,,,20225,15792,21,6,14270,13530.66,33804,4,16,31028,41301.15,34142.5,5,26,21740,,0,3425
29267,current,M,28,233,45360,,24109,,42638.84,494,16,17,32,,,1,45000,,,1,,,,,,92058.99,90948,17,6,27500,48881.26,51120,6,13,17685,57655.15,55121,9,21,18315,,0,33286
43588,current,M,29,534,14090.75,9996.05,11715.74,10454.5,6863.28,1875,15,15,15,21,30,38,64000,,,,,,,,,44627.22,31440.49,36,5,26106,32790.87,36379,6,39,26106,18483.39,30450.88,8,46,26106,,0,2841
29199,current,M,33,874,6452.79,,6461.68,690,3583,2324,16,12,15,,1,1,77000,,,,,,,,,28126.25,27505,4,3,27000,16638,27283,1,6,27000,34321.58,55554,4,13,27000,,0,2618
14165,current,F,46,233,8606.5,,15492,3386.67,647,,,6,28,,7,,40000,,,,,,,,,39011.5,61578,17,3,30403,31633.67,37777,2,18,30404,36224.75,7824,3,8,6700,,1173.1,1529
3324,saving,M,44,835,12919.61,1738,23427.56,219,2319,,7,7,15,1,1,,156000,1,,,,,,,,170038.29,153201.34,20,6,75000,55031.34,113234.5,5,20,60404,108975.28,86565.44,5,16,82210,,6820.43,5186
29607,current,M,33,683,15236,,3838.5,692,4737,1066,8,7,3,,4,10,42000,,,,,,,,,41680.88,32995,6,3,28384,13720.13,19787.5,2,13,19632,46550.64,49155.3,10,23,19633,,0,1475
18413,current,M,26,233,8370.58,,3698.73,841,6159.155,,2,2,4,,1,,75000,,,,,,,,,66911.02,51791.5,19,8,27324,15965.25,5286,1,11,5000,46490.85,44651,7,14,27271,,0,168
41166,current,M,31,683,41441.33,5315.76,15589,,29276.49,347,37,31,43,10,,2,225000,1,,,,,,,,169608.96,219696,29,6,130849,161640.05,114313,8,27,75849,102140.8,103467,9,26,75849,,26015.86,13560
33206,current,M,34,723,2062.37,,935.9,3061,16453.4,,5,1,21,,2,1,40000,,,,,,,,,91213.67,85491,28,10,56939,263972.06,266516,15,37,100000,95764.29,95201,15,26,47261,,0,2279
27928,current,M,39,244,3238,,7113.3,270,8115.3,1501,13,17,27,,2,11,71000,,,,,,,,,44635.28,25696.5,8,2,25460,327.75,824.95,3,4,434.47,48627.31,52453.95,8,29,25460,,0,3800
46746,current,M,36,535,3457.4,2483,4559.25,6598,4189.825,11821,1,3,,4,12,15,10000,,,1,,,,,,156880.23,156648.94,38,12,33660,74173.23,74553,11,25,32272,124436.65,194853.01,15,37,100000,,13450.08,9909
9010,current,M,28,723,23919.45,,5038.04,,795,,11,13,30,,,,65000,,,,,,,,,14809.49,19143,2,2,10000,69,24187,1,2,24000,32348.91,12574,2,4,12500,,0,2952
32056,current,M,33,723,14339,13741,4235.72,558,1107,1179,9,11,6,3,2,6,84000,1,,,,,,,,105872.75,102005,23,2,68199,29834.13,33196,1,19,32957,35679.57,30222,2,16,30073,Y,2016.15,5032
7461,current,F,36,623,7855,1722,6734,2570,609,45262,4,5,4,3,3,6,24000,,,,,,,,,30201.42,15884,9,1,15676,14911.01,28386,2,8,17246,72063.37,64217,5,11,26000,,0,2665
45593,current,F,49,623,5205,924,10184,5566.49,7947.5,919,2,1,14,2,8,4,20000,,,,,,,,,12360.08,12194,12,2,10345,23717.96,28719,8,18,10345,19341.69,25645.75,5,9,11756,,0,1390
36713,current,M,25,728,13433.5,1207,8150.93,1770,1155,2590,21,17,3,1,4,7,57000,,,,,,,,,32111.68,31777.6,28,9,18333,39597.17,40784.5,4,30,28683,14713.33,13817,6,16,10000,,131.65,2366
20749,current,F,30,623,34164.86,,79121.19,,6981,,23,29,31,,,,82000,,,,,,,,,21892.75,42678,13,2,30445,36316.98,37561.31,3,10,31945,61852.9,157773,15,10,30443,,0,12050
21354,current,M,34,683,22319.75,13692.45,22490.65,37850.75,700,48455.25,8,9,6,28,52,66,158000,,,,,,,50000,,37494.66,59551.94,43,3,56205,225249.2,372124,12,75,245197,134484.58,97586.23,6,88,56205,,0,28817
46152,current,M,41,866,5237.31,,5872.73,,5505.52,,6,5,2,,,,80000,,,,,,,,,71654.15,65733,4,3,31874,14333.12,149655,5,4,59584,23043.73,61440,4,10,52263,,1634.17,9925
3439,saving,M,40,534,10832.31,,8198.155,,4299,,6,,5,,,2,131000,,,,,,,,,20047,20334.88,1,2,20000,50068,66321.23,5,2,50000,39504,30389.58,4,7,20000,,6026.4,940
43619,current,M,54,523,25619.27,266,25834.89,,7461,,6,13,9,1,,,450000,,,,,,,,,80668.63,50248,22,2,50000,35524,65262.62,3,8,40000,130640.61,122906.77,6,28,80000,,0,21213
26291,current,F,33,523,63181,,8707,,4950,,4,4,1,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,0,6950
32809,current,M,33,628,4054,,2084.89,810,1063,,2,2,6,,1,,37000,,,1,,,,,,49791.88,10023,23,1,10000,27548.84,10279.62,2,9,10000,41589.36,62598.98,5,11,50000,,8913.19,1741
22451,current,M,24,818,9658.53,680,21397.88,5991,1364,,21,11,16,2,12,1,51000,,1,,,,,,,30478.25,39294,16,2,19580,44114.3,35096,3,28,20012,32502.82,54171,6,8,19580,,6896.06,1684
33762,current,M,31,548,2573.45,561,719,829,2772.9,,,4,12,2,4,,26000,,,,,,,,,13524.19,24435,6,2,13729,19280.94,23165,2,15,16000,45155.29,41930,4,10,23500,,0,788
11107,saving,M,55,803,23996.58,,15365.16,,20116.87,,23,22,11,,,2,150000,1,,,1,,10000,,,7603.88,4252,4,1,4000,77082.51,97413,4,8,50000,60563.91,39286,6,8,15000,,5745.95,806
38385,saving,M,34,834,12544.23,,12397.19,,31120.19,,14,13,22,,,2,121000,,,,,,,,,303896.31,342053,9,4,250000,61679.98,100889,3,20,53109,144513.15,122137,4,18,52594,,368.94,31694
30833,current,M,32,639,18446.28,,69002.89,500,2191,7190,17,27,15,,1,3,300000,1,,,,12.35,,,,133297.8,91535.77,25,6,79270,145576.5,258988.5,9,18,100000,388546.58,380331,11,31,244261,,6652.91,12936
35980,current,M,29,874,17484.62,,31984.62,,32339,,10,24,16,,,,200000,,,,,,,,,90330.1,80674.54,19,2,49829.54,87832.97,87069.71,2,11,55943.71,68534,132238.44,4,9,53877.06,,0,28754
14143,saving,M,33,233,31281.79,,9649.72,,4100.33,,9,15,15,,,,125000,,,,,,,,,19643.61,9009,5,2,7000,42495.17,168029,4,7,125000,81486.64,714,1,8,432,,2561.74,6081
37466,current,M,27,511,876.92,1772.7,5387.03,2093.42,1090,,2,9,11,6,6,2,15000,,,,,,,,,10467.7,15092.5,14,2,15000,22203.42,14653,1,8,14500,1045.12,695.76,4,6,428,,0,4794
10960,current,M,32,548,10226.5,802,1106.4,8540,1523,3334,24,2,3,2,18,39,28000,,,,,,,,,25527.53,25822,22,5,14575,51441.06,52414.5,7,35,30000,37440.01,36558.59,18,61,14575,,0,440
17955,current,F,30,683,36911,,35772.69,7070,15009,8530,20,14,16,,4,1,75000,,,,,,,,,118396.21,124508,12,2,65000,77887.89,43051,3,16,40000,55806.48,114095,7,17,47152,,0,27354
38605,current,M,32,534,29092.65,,9473.6,,48378.13,,21,21,39,,,,130000,,,1,,,,,,11744.25,15766.88,5,3,15000,44096.71,38200.24,3,10,23000,22213.58,25079,2,6,25000,,0,36467
32803,saving,M,26,245,1243,1886,5325,,5649,,3,8,7,5,,2,31000,,,,,,,,,24592,28515,10,2,17000,34167,46143,2,3,36000,4784,22522,3,4,15000,,0,4581
24655,saving,M,35,523,33823.78,,25271.26,,29711.02,,11,13,1,,,,137000,,,,,,,,,70.25,,1,0,,34088.64,30116,1,1,30000,26516.26,50303,3,1,27000,,22209,2550
16796,current,F,35,523,8648.22,,5824.325,,2726.43,,3,,6,,,,18000,,,,,,,,,201,,1,0,,160,127,1,1,100,,,,,,,0,1638
12185,current,M,45,245,159957.68,,385763.17,,7389,,20,20,41,,,,600000,,1,,,,,,,,,,,,,,,,,,,,,,,12788.67,2154
42004,current,M,30,534,8044.2,,2977.93,,173,,7,6,9,,,,43000,,,,,,,,,11276,13972,4,2,13395,32926.2,23311,2,8,15354,12778.83,20580,4,3,14525,,5533.51,950
4363,current,F,37,723,153218.8,2080,75254.55,,26203.41,,17,39,21,2,,,409000,,,,,,,,,76606.12,63956,23,4,50000,87011,65466,8,16,30000,136454,153113.58,9,12,60000,,6262.08,36604
40061,current,M,30,544,2091.505,1375.16,3259.94,359,333.07,409,,6,8,8,1,2,50000,,,,,,,,,2826.41,26189,12,1,26100,3122,27048,1,3,27000,58458.57,38175,3,10,27000,,0,330
4098,current,M,28,944,4513.25,15571.55,3240,5214.6,8915,2088,5,1,8,11,11,10,67000,,,,,,,,,39551.04,30921,30,4,28713,22248.16,29955,3,26,29314,39306.46,56991,7,30,44667,,0,3759
21109,current,M,27,683,13245.1,,5096.5,1755,3879.5,,24,12,16,,5,2,39000,,,,,,,,,43942.25,28983,21,4,18485,56267.98,57288,7,21,30000,47736.5,46583,13,24,16682,,0,4738
38608,saving,M,44,245,10238.03,,3139.39,,6687.21,,6,2,5,,,,100000,,,1,1,,,,,209.25,335.91,1,1,65.91,206871.75,250344.36,2,3,250000,,869,1,0,611,,6548.24,28815
22842,saving,M,39,523,22355.45,,21803.72,,659,,8,2,7,,,,118000,1,,,,,,,,94728.03,172912,19,4,101000,127199.32,90322,6,27,25000,139612.52,107866,6,24,49500,,5815.7,380
10135,saving,M,34,623,40436.71,1986,7346.97,,2843,,17,13,13,3,,2,100000,,,,,,204931,,,18430.39,36961,18,6,25000,20980.88,17734,3,5,9186,18823.78,4636,7,9,1690,,0,5502
18568,current,M,33,683,8682.675,391,13145,331,2176.35,293,,4,4,2,1,1,100000,,,,,,,,,6760.25,1079.5,15,1,862.5,7119.02,21329,3,19,14000,24803,12366,3,19,10000,,25289.21,484
46493,current,M,34,954,22346.21,346,7798,,15777.605,,17,7,12,2,,1,33000,,,,,,,,,30504.19,30780,19,9,20050,30638.81,30642,4,16,20050,32128.75,32182,6,10,20050,,0,51
8143,current,M,24,629,4285,24361.58,14117.14,7302.47,8108,22743,2,13,5,13,5,11,50000,,,,,,,,,144562.04,143540.26,58,17,20000,31305.03,33483.13,4,17,18192,103922.58,102330.13,12,37,16000,,0,2597
11775,current,M,28,325,9592,,26223.5,4398,4655,511,12,13,10,,2,4,40000,,,,,,,,,28494.29,21905,7,2,17819,34314,88473,5,9,45000,75068,84127,5,10,49000,,0,425
46057,current,M,36,233,3707.5,,10198.07,3173,7489.285,,5,4,7,,1,3,63000,,,,,,,,,60962.61,55601,14,4,23463,25057.29,24788.62,7,6,22363,29300.87,29408.32,8,16,22363,,687.79,653
46859,current,M,43,723,13251.95,10039,3899,7516.68,3582.5,7598,19,5,5,2,6,10,143000,,,1,,,,,,165874.5,705607,20,3,500000,415034.68,56958,2,24,50189,137306.45,52077.5,3,21,50183,,4787.8,3585
4415,saving,M,40,523,31828.52,303,12604.03,5002,7999,5414,20,12,22,1,3,8,300000,,,,,,175000,,,178002,130230.47,17,2,128610.47,84207,128331.84,4,14,118210.47,149395,124091.41,4,24,118110.47,,12468.75,22687
20031,current,M,30,624,14408.82,,2647.9,,551.42,,7,7,17,,,,50000,,,,,,,,,,,,,,36965,36841,1,2,36820,10762.08,11020,3,5,6870,,0,2773
20583,current,M,29,523,8381.39,729.9,3929.74,541,6698.065,,21,9,11,2,1,,28000,,,,,,,,,30798.03,35444,17,5,23638,32154.02,36235,6,19,16472,34993.52,33902,8,17,23638,,0,1664
34125,current,M,51,623,4034.76,197.45,7789.63,,1467,,5,5,10,1,,2,200000,,,,,,,,,52371.33,74014,7,2,55763,49613.76,43588,1,3,43363,397488.36,52790,2,7,48388,,9992.63,5052
30510,current,M,37,505,53379.91,,16607.24,,5808.5,,35,22,16,,,,126000,,,1,,,165000,,,121243.75,125195.44,19,6,47000,102105.75,118188,4,16,49000,144152,122035.8,6,12,49000,,4129.49,3112
8733,current,M,35,623,11824,1118,8889.7,,10491.85,,2,15,1,1,,1,90000,,,,,,,,,36849,30176.4,6,2,30000,,,,,,32640,30398.94,3,7,30000,,19481.55,1702
33120,current,M,40,743,53701.94,,18510.79,,1849,,20,14,7,,,,166000,,,,,,,,,605834.98,737785,50,7,600000,96522.94,39834,5,8,20000,162195.75,98447.78,11,12,29532,,0,4843
43974,current,F,35,233,3595.43,,4337.87,,3050,,3,7,9,,,,338000,,,,,,,,,194924.63,,10,0,,43830.49,49264,5,7,15000,23632.78,56431,3,5,40000,,0,1920
13279,saving,M,28,613,7112.34,10675.26,12959.3,5258.35,4680,14613,7,9,9,14,10,4,30000,,,,,,,,,31290.51,48266.5,33,4,28752.5,24509.32,51863.5,4,19,28752.5,61537.67,63728.5,6,12,28752.5,,0,8430
27213,current,M,34,823,15926,,19331.89,5111,17700.445,,6,6,8,,1,,35000,,,,,,,,,54406,51514,10,8,17500,17023,19591,5,8,12432,34637.76,23801,8,8,12199,,1145,2747
14322,current,M,30,538,2631,5916,1602.92,5276,2312.96,2590,2,3,5,2,3,8,126000,,,,,,,,,68149.25,64297,31,2,38724,23778,39896.37,2,23,39668,69201.17,50566.75,5,22,30982,,0,1560
1644,current,M,37,523,11064.17,,1972,,31215,1012,7,3,13,,,3,137000,,,,,,,,,90022.88,50319,16,2,45675,50080.38,48068,2,6,40058,50741.69,51083,4,11,45663,,0,25869
39022,current,F,34,233,47999.01,,80476.83,,2493.91,,24,21,10,,,,174000,,,,,,32397,,,227578.6,85832,28,1,85780,285029.96,296236.5,12,38,100000,257617.73,372302.8,11,22,205084,,0,12647
38476,current,M,32,683,12169.7,,11501.31,2194.8,2279,,7,19,10,,2,,23000,1,,,,,,,,54557,34516,13,7,15000,17741.8,17768,3,11,15000,72280,72291,10,14,21500,,6181.54,350
25752,current,M,34,683,6152.46,7486.01,17449.94,3294,1421,,11,12,10,5,11,,92000,,,,,,,,,82885.88,85416,23,7,37477,12804.28,53787,5,13,34678,55373.76,48366,5,4,35927,,0,5573
41329,current,M,53,523,4448.93,12522.59,12682,8492,9075.465,3287,4,3,7,12,11,11,75000,,,,,,,,,85078.86,131464,30,6,62042,95985.88,26375.75,3,26,19000,101766.73,70881.5,5,22,64368,,46328.94,7154
24886,saving,M,32,533,16077.71,,1146,,1656,,7,2,5,,,,88000,,,,,,,,,10150,14357.31,2,17,4098.58,20141,11007.1,13,1,3040.81,,23378.81,14,0,11853.81,,8004.35,463
13530,current,M,35,904,2988,196,3179,,535,,11,6,5,1,,1,57000,1,,,,,,,,91977.77,46180.43,24,7,25296,46318.22,27361,4,13,25296,58396.75,31445,5,13,25296,,1040.1,102
9812,current,M,38,324,42819.41,,33733.29,,12792.17,,35,32,37,,,,210000,,,,,,,,,74535.75,48139,14,2,46000,58651.8,104264,2,9,69200,104346.68,132301,3,7,75000,,0,7835
13055,current,F,31,653,20356.95,,576.5,671,6907,282,15,2,18,,1,1,150000,,,,,,,,,6584,54179,2,3,40000,21976,7733,2,4,7000,415,334,1,2,304,,718.02,19505
22262,current,M,35,645,6456.12,,1543,,4197.06,,7,2,1,,,,125000,,,,,,,,,6906.02,17937.5,7,3,16000,3541.42,,0,7,,5692,37949.45,3,10,22755,,0,4111
13554,current,M,35,623,8270,11296.1,49892.01,14729.18,10213,25391,3,21,4,11,6,26,104000,,,,,,,,,61674.27,96434.44,34,10,35500,65722.91,29765.45,9,16,16340,69729.27,78029.5,11,39,35500,,3054.5,590
10528,current,M,44,244,28040.81,,12561.06,,20920.935,,13,14,15,,,,40000,,,,,,,,,12878.66,17150,1,1,17000,37544,46662.91,6,7,23500,48556.77,60727,5,10,25337,,0,1763
37777,current,F,36,683,21887.4,18295,58288.22,21741,445,,13,24,8,1,7,,77000,,,,,,,,,79758.27,61940,7,5,25943,168834.7,256764,10,28,200000,136484.77,75913,5,10,40000,,718.78,6875
37344,current,F,26,233,4131,3828.52,4592.045,9995.48,4366.09,14302,3,,2,12,17,23,65000,,,,,,,,,67392.77,54126,22,2,49485,40238.73,244084,3,24,201809,269903.51,91738,4,41,45641,,0,38162
13729,current,M,69,623,5674.49,,2991.98,205,6409,2443,,11,35,,1,6,30000,,,,,,,,,21023.25,17561,5,2,10891,7696.75,19606,2,8,15000,22589.88,23477.5,6,12,7638,,0,7852
28704,saving,F,39,698,8047.93,,11962,,2109.86,,,7,9,,,,48000,,,,,,,,,572,9192,1,3,6000,,10191,1,0,10000,9502,5208,2,2,5000,,0,6882
42579,current,M,29,233,20352.09,,20120.89,,20502.49,,15,20,22,,,,65000,,,,,,,,,23066.44,36755,7,4,15990,71856.38,63102,2,7,46500,46133,51377,3,4,35000,,774.28,2170
32255,current,M,43,324,7375.19,,2399.01,,5446.6,,10,2,5,,,,25000,,,,,,,,,69.99,,1,0,,,,,,,235,118,1,2,100,,0,2133
30361,current,M,32,233,3006.5,,20511,894,11993.25,,7,7,,,3,9,49000,,,,,,,,,13535.25,13249,5,1,13000,18279.5,36950,3,8,22000,29938.86,7666,4,12,7250,,0,2940
7522,current,F,36,245,36673.21,,47319.23,,29355,,20,26,12,,,,90000,,,,,,,,,64389.75,64821,19,6,20000,136836.34,141589,11,26,30000,107175.25,107166,5,15,41000,,655.51,15298
46323,current,M,33,526,18420.83,,7128.63,362,13281.23,4249,31,21,12,,1,7,60000,,,,,,,,,52411.68,65335,24,3,25000,65700.89,81124,8,30,60000,93867.09,63159,4,30,38250,,0,883
46648,current,M,38,623,25998.7,1210,15697.69,690,4265,64,10,7,14,6,3,1,283000,,,,,,,,,89643.75,66182,18,1,66012,83145.65,88766,3,12,63453,148679.9,118746,7,14,59634,,0,3534
30213,saving,F,42,623,102903.48,21855.31,98457.3,57432.81,24728.03,46705.56,21,31,30,21,41,51,100000,,,,,,,,,123204.44,203959.52,32,8,110000,245660.78,42941.85,15,71,28275,82706.27,208709,5,68,137359,,0,47972
16394,current,M,30,523,4951.73,,10066.24,,4455.96,,5,8,6,,,,30000,,,,,,,,,36088.65,24787,15,4,12000,52403.75,60652,9,14,18056,12324.75,20600,4,4,18056,,2835.8,5330
33376,current,M,27,523,3168.21,3563,4233.42,4261.49,360,5648,,8,14,15,15,34,40000,,,,,,,,,19769.5,19245,37,9,16539,18374.24,18480,6,32,17704,47180.08,50866,9,47,19500,Y,3832.11,506
33860,current,F,24,565,779.08,1276,692.09,,2009,350,1,1,5,6,,10,19000,,,,,,,,,14876.76,11844,14,1,11596,6700.42,16229,1,4,16162,26686.59,15641,2,25,15360,,0,323
33751,current,M,49,563,23883.4,,12946.78,,13393,,7,9,18,,,,84000,1,,,,,,,,241432,203308.11,33,7,93070,132943.5,148756,3,21,109619,146920,541767.03,9,23,245000,,9758.67,26482
15761,current,M,30,723,37764.72,,11760.93,2115,1580,1138,16,14,20,,6,3,43000,,,,,,,,,296211.21,296060,21,11,246239,118309.62,122870.28,16,30,19400,90248.32,93875,10,23,22000,Y,0,7001
28965,current,F,29,683,12968,1457,5616.09,1334.03,3675,442.34,14,12,11,2,6,2,132000,,,,,,,,,94669,84349,12,3,44173,85676.68,84321,2,14,44173,25197.23,46716,3,13,44167,,0,8730
4840,current,M,34,349,43427.68,,118630.78,,8731,,10,9,17,,,,350000,,,,,,,,,100389.06,149332,22,8,62600,154526.48,66009,5,19,40000,94027.87,94019,10,22,33838,,5915.04,25650
44325,current,F,31,523,8687,7815,3193,6372.23,151,3754.97,8,1,5,14,18,19,100000,,,,,,,,,62546.75,13210,32,3,6000,28844.98,23072,5,34,15000,35348.97,35676,6,29,20000,,0,728
36535,current,M,35,623,60007.29,,17770.51,,14733.89,,7,12,32,,,,126000,1,,,,,,,,,,,,,,80553,1,0,80495,160416,130585,3,5,80493,,13775.96,11643
10557,current,M,37,245,2952.4,527,11451.56,,1828,359,7,14,21,1,,2,40000,,,,,,,,,19163.7,15441,17,2,14565,9394,18443,2,6,14365,31566.02,25624,10,19,14065,,0,640
36226,current,M,28,859,5097.5,5892,7007,14962,1780,4520.1,,2,1,25,51,54,50000,,,,,,,,,20144,28062,33,4,25906,66300.25,65468,15,74,25906,147012.4,126367.25,16,92,76000,,0,11485
29886,saving,M,39,944,3057.38,4333,4691.76,3464,291,,,11,7,6,9,4,100000,,,,,,,5797,,100631.21,95252.5,37,9,29000,140510.85,138225,7,42,48000,133808.89,117986.49,7,48,48000,,3853.69,269
3664,current,M,35,233,2414,,3089,229,480,753,9,11,8,,1,4,35000,,,1,,,,,,64451,53574,15,1,53352,39538.25,65956,2,12,52926,45679.88,63862,3,13,53524,,0,1583
5670,current,M,24,245,1398.41,1996,7903.2,495,1951,2608,2,4,6,4,1,9,46000,,,,,,,,,192832.38,201200,19,4,85477,9463.08,,0,6,,18981.66,19047,4,18,16057,,0,5967
36238,current,M,31,270,1507.87,,1526.13,,3148,,1,3,2,,,,97000,,,,,,,,,,,,,,,,,,,,,,,,,13389.77,1038
2473,current,M,32,283,4433.1,,3200.05,,580,,6,,3,,,,20000,,,,,,,,,25638.07,25567.57,5,3,19548.57,21712.23,22543.23,4,4,16271.23,24965.26,25139.26,4,2,21508.63,,0,940
